,China
Aeroponics,0
agricultural robot,2
aquaponics,3
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,2
fogponics,0
Genetically modified crops,60
Genetically modified food,38
Genetically modified organism,32
hydroponics,2
Insects as food,9
meat analogue,1
Passive hydroponics,3
Precision agriculture,73
Precision livestock farming,1
Vertical farming,1
arcology,1
Gesture recognition,2
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,9
Carbon capture and storage,93
Carbon dioxide removal,0
Carbon sequestration,130
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,9
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,2
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,128
Liquid Crystal Elastomers,1
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,4
Radio-frequency identification,81
Robot end effector,0
self assembly,12
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,16
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,13
Intelligent tutoring system,1
Learning Management System,4
Mobile learning,76
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,119
E-textiles,1
Electronic skin,0
Flexible display,0
Flexible electronics,2
Flexible organic light-emitting diode,1
Gastrobot,0
Holography,3
laser diode headlights,5
Laser video display,0
Memristor,1
Multi-level converter,0
Nanoelectromechanical systems,7
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,1
Spintronics,3
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,1
Biobattery,0
Biomass to liquid,0
Coal liquefaction,36
Combined Cycle Gas Turbine Plant,3
concentrated solar power,6
CZTS solar cell,0
Dye-sensitized solar cell,2
Electric vehicle battery fast charge,6
Energy harvesting,11
Floating Liquefied Natural Gas,2
Flywheel energy storage,1
Fourth-generation biofuel,1
Fusion power,12
Gas generator,0
Gas-cooled fast reactor,1
Gasification,175
Generation IV reactor,0
Grid energy storage,11
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,11
Lead-cooled fast reactor,5
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,41
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,2
Microreactor,0
Mini Bioreactors,0
Modular Reactors,2
Molten salt reactor,4
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,95
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,1
Power-to-X,1
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,12
Smart grid,319
Sodium-cooled fast reactor,12
Space-based solar power,0
Supercapacitor,4
Supercritical water reactor,4
Third-generation biofuels,0
Thorium fuel cycle,1
Triboelectric Nanogenerator,1
Virtual power Plant,4
Vortex engine,0
Wireless power transfer,1
Zero-energy building,3
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,6
Cryptocurrency,19
Stablecoin,0
Companion robot,0
Cryonics,0
Extreme Life extension,6
Suspended animation,0
5D DVD,0
5g,69
6G,2
Ambient intelligence,6
Artificial brain,2
Artificial general intelligence,282
Atmospheric satellite,2
Automatic AI debugging,0
Cloud computing,198
Compressive Sensing,2
Deep learning,51
deep trench capacitor,0
Digital image processing,44
Digital image segmentation,0
Distributed ledger,63
DNA Computing,0
DNA digital data storage,0
Edge Computing,14
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,2
Extreme ultraviolet lithography,0
Facial recognition,16
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,1
Indoor positioning system,0
Internet of things,264
Li-Fi,0
Machine translation,14
Machine vision,19
Nanoradio,0
Natural Language Processing,31
Neural Networks,152
Neural-sensing headset,0
next gen web search,0
Open source model,1
Optical computing,1
Quantum algorithm,1
Quantum computing hardware,7
Quantum cryptography,3
Semantic Web,16
Silicon laser for communication,0
Smartphone,101
Spatial computing,1
Streaming television,3
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,1
Virtual reality applications,1
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,1
Aerogel,4
Amorphous metal,1
Bioplastic,0
Carbon nanotube,33
Conductive polymer,3
Cryogenic treatment,1
Dynamic Armor,0
Eutectic system,1
Fast-ion Conductors,0
Fullerene,1
Gallium Nitride semiconductor,0
Graphene,75
Graphene Oxide dough,15
High Entropy Alloys,2
Magnetic nanoparticles,2
Magnetorheological fluid,0
Metal foam,0
Metamaterial,8
Multi-function structure,0
Nanocrystal,11
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,13
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,1
Silicene,0
Single Photon Source,0
Superalloy,20
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,29
Zero-friction coating,2
16K video resolution,0
Augmented reality,12
Brain-computer interface,4
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,1
Immersion (virtual reality),1
Mixed Reality,1
Video tracking,0
Virtual reality,71
3D Bioprinting,1
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,56
Biomimetic Nanocoagulation,0
Biosensor,8
Breath analysis,0
Cancer biomarker,2
Capsule endoscopy,4
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,2
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,3
Microelectromechanical systems,32
Microfluidics,4
Molecular electronics,0
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,2
Plasma Medicine,1
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,3
Real-time polymerase chain reaction,11
Regenerative Medicine,76
Sensory substitution,0
Single Cell Analysis,1
Stasis Chamber,0
Synthetic Blood,2
Theranostic Wound Care,66
Transdermal optical imaging,0
Active camouflage,0
Active noise control,1
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,2
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,1
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,1
Lidar,120
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,1
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,1
Quantum illumination,3
Quantum radar,1
Railgun,1
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,9
Urban mining,6
Closed system drug transfer device,0
DNA repair,6
Electronic cigarette,17
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,41
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,7
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,14
Phage therapy,3
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,19
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,7
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,1
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,1
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,7
Backpack helicopter,0
Electric vehicle,160
Fuel cell,106
Fuel cell vehicle,28
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,1
Hyperloop,0
Intelligent transportation system,42
Jetpack,0
Maglev,56
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,1
Rapid transit,877
Rocket transportation,0
Supersonic transport,0
Urban rail transit,130
Vactrain,0
VTOL,0
Hyper-personalized intelligence,36
neuromorphic engineering,0
solid-state battery,0
