source,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-05-01T00:00:00Z,2015-07-01T00:00:00Z,2015-09-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2017-09-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-10-01T00:00:00Z
5g,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,4.0,1.0,
Cloud computing,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,2.0,,,,,1.0,,1.0,1.0,,1.0,4.0,2.0,4.0,3.0,,1.0,3.0,,1.0,1.0,,1.0
Electric vehicle,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Gasification,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
Internet of things,3.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
Natural Language Processing,,,,,,3.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,
Semantic Web,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Virtual power Plant,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,3.0,,,,2.0,,8.0,,,,,,,,,,,
