source,2010-12-01T00:00:00Z,2011-02-01T00:00:00Z,2012-06-01T00:00:00Z,2012-10-01T00:00:00Z,2013-04-01T00:00:00Z,2013-06-01T00:00:00Z,2014-01-01T00:00:00Z,2014-12-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-07-01T00:00:00Z,2015-09-01T00:00:00Z,2015-11-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-09-01T00:00:00Z,2016-11-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-08-01T00:00:00Z,2017-11-01T00:00:00Z,2018-05-01T00:00:00Z,2018-08-01T00:00:00Z,2018-12-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2020-08-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
Augmented reality,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Bioplastic,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Learning Management System,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidar,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Quadcopter,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
Virtual reality,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,,6.0,
