source,2010-07-01T00:00:00Z,2011-01-01T00:00:00Z,2011-11-01T00:00:00Z,2012-02-01T00:00:00Z,2012-05-01T00:00:00Z,2014-02-01T00:00:00Z,2014-05-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-12-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-07-01T00:00:00Z,2016-12-01T00:00:00Z,2017-03-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-03-01T00:00:00Z,2018-05-01T00:00:00Z,2018-09-01T00:00:00Z,2019-02-01T00:00:00Z,2019-06-01T00:00:00Z,2019-12-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-06-01T00:00:00Z,2020-08-01T00:00:00Z,2020-12-01T00:00:00Z
6G,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Conductive polymer,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,
DNA repair,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Graphene,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Real-time polymerase chain reaction,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hydroponics,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
