source,2010-01-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-06-01T00:00:00Z,2017-01-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Biosensor,,,,,,1.0,1.0,1.0,,,,,,
Carbon sequestration,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,
Cloud computing,,,,,2.0,,,1.0,,2.0,3.0,,2.0,
Force Field,,,,1.0,,,,,,,,,,
Gasification,,,,,,,,1.0,,,,,,
Genetically modified crops,,,,,,,,,,1.0,,,,
Life-cycle assessment,,,,,,,,1.0,,,,,1.0,
Machine translation,,,,,,1.0,,,,,,,,
Neural Networks,,,1.0,,,,,1.0,,,,,,1.0
Regenerative Medicine,,,,,,,,,,,,,1.0,
Smartphone,,,,,,,,1.0,1.0,,,,,
Zeolite,,,,,,1.0,,,,,,,,
aquaponics,,,,,,,,,,1.0,,,,
concentrated solar power,,,,,,,,,,,1.0,,,
hydroponics,,,,,,,,,,1.0,,,,
