source,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2013-11-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2021-01-01T00:00:00Z
Carbon sequestration,,1.0,,1.0,,,,,,
Cloud computing,1.0,,1.0,2.0,,,,,,
Coal liquefaction,,,,,1.0,,,,,
Gasification,,,,,,2.0,,,1.0,
Learning Management System,,,,,,,1.0,,,
Lidar,,,,,,,,1.0,,
Life-cycle assessment,,,,,1.0,,,,,1.0
Smart grid,,,,1.0,,,,,,
concentrated solar power,1.0,,,,,,,,,
hydroponics,,,,,1.0,,,,,
