source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-01-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,1.0,,,,,
Ambient intelligence,,,,1.0,,,,,,,,,,,,,,,
Augmented reality,,,,2.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0
Biomass to liquid,,,,1.0,,,,,,,,,,,,,,,
Carbon sequestration,,1.0,,,,,,1.0,,,,,,,,,,,
Cloud computing,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,
Conductive polymer,,1.0,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,1.0,,,,,
De-extinction,,,,,,,,,,,1.0,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,1.0
Electric vehicle,,,,1.0,,,,,,,1.0,,,,,,,,
Hydrogen fuel,1.0,,,,,,,,,,,,,,,,,,
Lidar,,,,1.0,1.0,,,2.0,,,1.0,,2.0,1.0,,2.0,,,
Life-cycle assessment,,,,,,,,,,,1.0,,,,,3.0,,,
Machine vision,,,,,,,,,,,,,,1.0,,,,,
Mobile learning,,,,1.0,,,,,,,2.0,,,,,,,,
Neural Networks,1.0,,,,,,,,1.0,,,,1.0,,,,,,
Regenerative Medicine,,,,,1.0,,1.0,,,,,,,,,,,,
Semantic Web,,,,,,,,,,,,,,,,1.0,,1.0,
Smart grid,,,,,,,,1.0,1.0,,,,1.0,,,,,,
Smartphone,,,1.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,
Virotherapy,,,,,,,,,,,,,,1.0,,,,,
Virtual reality,,,,,,,,1.0,,,,,,,,,,,1.0
Wireless power transfer,,,,,1.0,,,,,,,,,,,,,,
