source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-09-01T00:00:00Z,2013-01-01T00:00:00Z,2013-03-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,2017-01-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2021-01-01T00:00:00Z
Ambient intelligence,,,,,,,1.0,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,1.0
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,1.0
Breath analysis,,,,,,,,1.0,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,1.0,,,,,,,,1.0,,,,,
Carbon sequestration,1.0,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,
Cloud computing,,,,,,,1.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,1.0,,,,,2.0,,,,,
Electric vehicle,,,1.0,,,,,,,,1.0,,,,,,,,,,2.0
Electronic cigarette,,,1.0,1.0,,,,,,,,,,,,,,,,,
Energy harvesting,,1.0,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,1.0
Gas-cooled fast reactor,,,,,,,,,,,,,,,1.0,,,,,,
Gasification,,,,,,,2.0,1.0,,,,,2.0,,,1.0,,,,,
Genetically modified crops,,,1.0,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,1.0,,,,,,,,,,,,
Holography,,,,,,,1.0,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0
Internet of things,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,
Lidar,,1.0,,,,,,1.0,1.0,,2.0,,3.0,,4.0,2.0,,,,,
Life-cycle assessment,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,
Machine translation,,,,,1.0,,,,,,,,,,,,,,,,
Machine vision,,,1.0,,,,,,,,,,,,,,,,,,
Magnetic nanoparticles,,,,,1.0,,,,,,,,,,,,,,,,
Microreactor,,1.0,,,,,,,,,,,,,,,,,,,
Natural Language Processing,,,1.0,,,,,,,,,,1.0,,,,,,,,
Neural Networks,,,2.0,,,,,,,,1.0,,1.0,,1.0,3.0,1.0,,,,
Phage therapy,,,1.0,,,,,,1.0,,,,1.0,,,2.0,,1.0,1.0,,
Precision agriculture,,,,,,,1.0,,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,1.0,,,,,,,,,,
Real-time polymerase chain reaction,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,
Regenerative Medicine,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,
Smart grid,,,,,,,,,,,,,,,1.0,,,,,,
Smartphone,,,,,,,,,,,1.0,,,,,,,,,,
Spintronics,,,,,,,,,1.0,,,,,,,,,,,,
Structural health monitoring,,,1.0,,,,,,,,,,,,,,,,,,
Superalloy,,,,,,,1.0,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,1.0,,,,,,,,,,,,1.0
